{'seed': 42.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 0.998, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 42.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.019999999552965164, 'mean_l2': 0.03999997675418854, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 42.0, 'epsilon': 0.05, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.05000000819563866, 'mean_l2': 0.09999998658895493, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 42.0, 'epsilon': 0.1, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.10000002384185791, 'mean_l2': 0.20000003278255463, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 42.0, 'epsilon': 0.15, 'attack_success_rate': 0.002004008016032064, 'robustness_accuracy': 0.998, 'mean_linf': 0.15000003576278687, 'mean_l2': 0.30000001192092896, 'accuracy': 0.998, 'precision': 0.9962546816479401, 'recall': 1.0, 'f1': 0.99812382739212}
{'seed': 42.0, 'epsilon': 0.2, 'attack_success_rate': 0.004008016032064128, 'robustness_accuracy': 0.996, 'mean_linf': 0.20000003278255463, 'mean_l2': 0.40000006556510925, 'accuracy': 0.996, 'precision': 0.9925373134328358, 'recall': 1.0, 'f1': 0.9962546816479401}
{'seed': 42.0, 'epsilon': 0.3, 'attack_success_rate': 0.022044088176352707, 'robustness_accuracy': 0.978, 'mean_linf': 0.30000004172325134, 'mean_l2': 0.6000000238418579, 'accuracy': 0.978, 'precision': 0.9885057471264368, 'recall': 0.9699248120300752, 'f1': 0.9791271347248577}
{'seed': 43.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 43.0, 'epsilon': 0.02, 'attack_success_rate': 0.002, 'robustness_accuracy': 0.998, 'mean_linf': 0.01836000196635723, 'mean_l2': 0.03671997785568237, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 43.0, 'epsilon': 0.05, 'attack_success_rate': 0.002, 'robustness_accuracy': 0.998, 'mean_linf': 0.04590000957250595, 'mean_l2': 0.09179998934268951, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 43.0, 'epsilon': 0.1, 'attack_success_rate': 0.004, 'robustness_accuracy': 0.996, 'mean_linf': 0.0918000191450119, 'mean_l2': 0.1836000382900238, 'accuracy': 0.996, 'precision': 0.9962406015037594, 'recall': 0.9962406015037594, 'f1': 0.9962406015037594}
{'seed': 43.0, 'epsilon': 0.15, 'attack_success_rate': 0.008, 'robustness_accuracy': 0.992, 'mean_linf': 0.13770000636577606, 'mean_l2': 0.27539998292922974, 'accuracy': 0.992, 'precision': 0.9924812030075187, 'recall': 0.9924812030075187, 'f1': 0.9924812030075187}
{'seed': 43.0, 'epsilon': 0.2, 'attack_success_rate': 0.016, 'robustness_accuracy': 0.984, 'mean_linf': 0.1836000382900238, 'mean_l2': 0.3672000765800476, 'accuracy': 0.984, 'precision': 0.9849624060150376, 'recall': 0.9849624060150376, 'f1': 0.9849624060150376}
{'seed': 43.0, 'epsilon': 0.3, 'attack_success_rate': 0.03, 'robustness_accuracy': 0.97, 'mean_linf': 0.27539998292922974, 'mean_l2': 0.5507999658584595, 'accuracy': 0.97, 'precision': 0.9700374531835206, 'recall': 0.9736842105263158, 'f1': 0.9718574108818011}
{'seed': 44.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 44.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.019999999552965164, 'mean_l2': 0.03999997675418854, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 44.0, 'epsilon': 0.05, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.05000000819563866, 'mean_l2': 0.09999998658895493, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 44.0, 'epsilon': 0.1, 'attack_success_rate': 0.004, 'robustness_accuracy': 0.996, 'mean_linf': 0.10000002384185791, 'mean_l2': 0.20000003278255463, 'accuracy': 0.996, 'precision': 0.9962406015037594, 'recall': 0.9962406015037594, 'f1': 0.9962406015037594}
{'seed': 44.0, 'epsilon': 0.15, 'attack_success_rate': 0.006, 'robustness_accuracy': 0.994, 'mean_linf': 0.15000003576278687, 'mean_l2': 0.30000001192092896, 'accuracy': 0.994, 'precision': 0.9925093632958801, 'recall': 0.9962406015037594, 'f1': 0.9943714821763602}
{'seed': 44.0, 'epsilon': 0.2, 'attack_success_rate': 0.008, 'robustness_accuracy': 0.992, 'mean_linf': 0.20000003278255463, 'mean_l2': 0.40000006556510925, 'accuracy': 0.992, 'precision': 0.9888059701492538, 'recall': 0.9962406015037594, 'f1': 0.9925093632958801}
{'seed': 44.0, 'epsilon': 0.3, 'attack_success_rate': 0.016, 'robustness_accuracy': 0.984, 'mean_linf': 0.30000001192092896, 'mean_l2': 0.6000000238418579, 'accuracy': 0.984, 'precision': 0.9742647058823529, 'recall': 0.9962406015037594, 'f1': 0.9851301115241635}
{'seed': 45.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 45.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.01899999938905239, 'mean_l2': 0.03799997642636299, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 45.0, 'epsilon': 0.05, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.04750001057982445, 'mean_l2': 0.09499998390674591, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 45.0, 'epsilon': 0.1, 'attack_success_rate': 0.004, 'robustness_accuracy': 0.996, 'mean_linf': 0.09500002861022949, 'mean_l2': 0.1900000274181366, 'accuracy': 0.996, 'precision': 0.9962406015037594, 'recall': 0.9962406015037594, 'f1': 0.9962406015037594}
{'seed': 45.0, 'epsilon': 0.15, 'attack_success_rate': 0.006, 'robustness_accuracy': 0.994, 'mean_linf': 0.14250002801418304, 'mean_l2': 0.2849999666213989, 'accuracy': 0.994, 'precision': 0.9962264150943396, 'recall': 0.9924812030075187, 'f1': 0.9943502824858758}
{'seed': 45.0, 'epsilon': 0.2, 'attack_success_rate': 0.006, 'robustness_accuracy': 0.994, 'mean_linf': 0.1900000423192978, 'mean_l2': 0.3800000548362732, 'accuracy': 0.994, 'precision': 0.9962264150943396, 'recall': 0.9924812030075187, 'f1': 0.9943502824858758}
{'seed': 45.0, 'epsilon': 0.3, 'attack_success_rate': 0.012, 'robustness_accuracy': 0.988, 'mean_linf': 0.2849999964237213, 'mean_l2': 0.5699999928474426, 'accuracy': 0.988, 'precision': 0.9924242424242424, 'recall': 0.9849624060150376, 'f1': 0.9886792452830189}
{'seed': 46.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 0.998, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 46.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.020000001415610313, 'mean_l2': 0.03999997675418854, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 46.0, 'epsilon': 0.05, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.05000000819563866, 'mean_l2': 0.09999998658895493, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 46.0, 'epsilon': 0.1, 'attack_success_rate': 0.002004008016032064, 'robustness_accuracy': 0.998, 'mean_linf': 0.10000002384185791, 'mean_l2': 0.20000003278255463, 'accuracy': 0.998, 'precision': 0.9962546816479401, 'recall': 1.0, 'f1': 0.99812382739212}
{'seed': 46.0, 'epsilon': 0.15, 'attack_success_rate': 0.002004008016032064, 'robustness_accuracy': 0.998, 'mean_linf': 0.15000003576278687, 'mean_l2': 0.30000001192092896, 'accuracy': 0.998, 'precision': 0.9962546816479401, 'recall': 1.0, 'f1': 0.99812382739212}
{'seed': 46.0, 'epsilon': 0.2, 'attack_success_rate': 0.006012024048096192, 'robustness_accuracy': 0.994, 'mean_linf': 0.20000003278255463, 'mean_l2': 0.40000006556510925, 'accuracy': 0.994, 'precision': 0.9888475836431226, 'recall': 1.0, 'f1': 0.994392523364486}
{'seed': 46.0, 'epsilon': 0.3, 'attack_success_rate': 0.012024048096192385, 'robustness_accuracy': 0.988, 'mean_linf': 0.30000004172325134, 'mean_l2': 0.6000000238418579, 'accuracy': 0.988, 'precision': 0.9779411764705882, 'recall': 1.0, 'f1': 0.9888475836431226}
{'seed': 47.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 47.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.00835999846458435, 'mean_l2': 0.016719989478588104, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 47.0, 'epsilon': 0.05, 'attack_success_rate': 0.002, 'robustness_accuracy': 0.998, 'mean_linf': 0.020900003612041473, 'mean_l2': 0.041799988597631454, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 47.0, 'epsilon': 0.1, 'attack_success_rate': 0.006, 'robustness_accuracy': 0.994, 'mean_linf': 0.041800010949373245, 'mean_l2': 0.0836000069975853, 'accuracy': 0.994, 'precision': 0.9925093632958801, 'recall': 0.9962406015037594, 'f1': 0.9943714821763602}
{'seed': 47.0, 'epsilon': 0.15, 'attack_success_rate': 0.01, 'robustness_accuracy': 0.99, 'mean_linf': 0.06270001083612442, 'mean_l2': 0.12539999186992645, 'accuracy': 0.99, 'precision': 0.9924528301886792, 'recall': 0.9887218045112782, 'f1': 0.9905838041431262}
{'seed': 47.0, 'epsilon': 0.2, 'attack_success_rate': 0.016, 'robustness_accuracy': 0.984, 'mean_linf': 0.08360002189874649, 'mean_l2': 0.1672000139951706, 'accuracy': 0.984, 'precision': 0.9813432835820896, 'recall': 0.9887218045112782, 'f1': 0.9850187265917603}
{'seed': 47.0, 'epsilon': 0.3, 'attack_success_rate': 0.028, 'robustness_accuracy': 0.972, 'mean_linf': 0.12540002167224884, 'mean_l2': 0.2507999837398529, 'accuracy': 0.972, 'precision': 0.9736842105263158, 'recall': 0.9736842105263158, 'f1': 0.9736842105263158}
{'seed': 48.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 0.998, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 48.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 0.998, 'mean_linf': 0.020000001415610313, 'mean_l2': 0.03999997675418854, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 48.0, 'epsilon': 0.05, 'attack_success_rate': 0.0, 'robustness_accuracy': 0.998, 'mean_linf': 0.050000011920928955, 'mean_l2': 0.09999998658895493, 'accuracy': 0.998, 'precision': 1.0, 'recall': 0.9962406015037594, 'f1': 0.9981167608286252}
{'seed': 48.0, 'epsilon': 0.1, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.10000002384185791, 'mean_l2': 0.20000003278255463, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 48.0, 'epsilon': 0.15, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.15000003576278687, 'mean_l2': 0.30000001192092896, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 48.0, 'epsilon': 0.2, 'attack_success_rate': 0.006012024048096192, 'robustness_accuracy': 0.994, 'mean_linf': 0.20000003278255463, 'mean_l2': 0.40000006556510925, 'accuracy': 0.994, 'precision': 0.9925093632958801, 'recall': 0.9962406015037594, 'f1': 0.9943714821763602}
{'seed': 48.0, 'epsilon': 0.3, 'attack_success_rate': 0.02004008016032064, 'robustness_accuracy': 0.98, 'mean_linf': 0.30000001192092896, 'mean_l2': 0.6000000238418579, 'accuracy': 0.98, 'precision': 0.9740740740740741, 'recall': 0.9887218045112782, 'f1': 0.9813432835820896}
{'seed': 49.0, 'epsilon': 0.0, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.0, 'mean_l2': 0.0, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 49.0, 'epsilon': 0.02, 'attack_success_rate': 0.0, 'robustness_accuracy': 1.0, 'mean_linf': 0.019680000841617584, 'mean_l2': 0.03933854028582573, 'accuracy': 1.0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}
{'seed': 49.0, 'epsilon': 0.05, 'attack_success_rate': 0.004, 'robustness_accuracy': 0.996, 'mean_linf': 0.049200013279914856, 'mean_l2': 0.09834638983011246, 'accuracy': 0.996, 'precision': 1.0, 'recall': 0.9924812030075187, 'f1': 0.9962264150943396}
{'seed': 49.0, 'epsilon': 0.1, 'attack_success_rate': 0.008, 'robustness_accuracy': 0.992, 'mean_linf': 0.09840002655982971, 'mean_l2': 0.1966928392648697, 'accuracy': 0.992, 'precision': 0.9924812030075187, 'recall': 0.9924812030075187, 'f1': 0.9924812030075187}
{'seed': 49.0, 'epsilon': 0.15, 'attack_success_rate': 0.01, 'robustness_accuracy': 0.99, 'mean_linf': 0.14760003983974457, 'mean_l2': 0.29503923654556274, 'accuracy': 0.99, 'precision': 0.9924528301886792, 'recall': 0.9887218045112782, 'f1': 0.9905838041431262}
{'seed': 49.0, 'epsilon': 0.2, 'attack_success_rate': 0.01, 'robustness_accuracy': 0.99, 'mean_linf': 0.19680005311965942, 'mean_l2': 0.3933856785297394, 'accuracy': 0.99, 'precision': 0.9924528301886792, 'recall': 0.9887218045112782, 'f1': 0.9905838041431262}
{'seed': 49.0, 'epsilon': 0.3, 'attack_success_rate': 0.028, 'robustness_accuracy': 0.972, 'mean_linf': 0.29520002007484436, 'mean_l2': 0.5900784730911255, 'accuracy': 0.972, 'precision': 0.9736842105263158, 'recall': 0.9736842105263158, 'f1': 0.9736842105263158}

Written to C:\Work\Quantum-Adversarial-Robustness\results\classical_fgsm_sweep\classical_fgsm_sweep_all_seeds.csv
