seed,epsilon,attack_success_rate,robustness_accuracy,mean_linf,mean_l2,accuracy,precision,recall,f1
42,0.0,0.0,0.622,0.0,0.0,0.622,0.6350877192982456,0.6804511278195489,0.6569872958257713
42,0.02,0.3762057877813505,0.616,0.020000001,0.039999977,0.616,0.6434108527131783,0.6240601503759399,0.6335877862595419
42,0.05,0.6077170418006431,0.546,0.05000001,0.09999999,0.546,0.5836909871244635,0.5112781954887218,0.5450901803607214
42,0.1,0.5016077170418006,0.54,0.100000024,0.20000003,0.54,0.5661764705882353,0.5789473684210527,0.5724907063197026
42,0.15,0.38263665594855306,0.59,0.15000004,0.3,0.59,0.6205533596837944,0.5902255639097744,0.605009633911368
42,0.2,0.3762057877813505,0.602,0.20000005,0.40000007,0.602,0.6303501945525292,0.6090225563909775,0.6195028680688337
42,0.3,0.4340836012861736,0.536,0.30000007,0.6,0.536,0.569672131147541,0.5225563909774437,0.5450980392156862
43,0.0,0.0,0.62,0.0,0.0,0.62,0.6347517730496454,0.6729323308270677,0.6532846715328468
43,0.02,0.38064516129032255,0.594,0.020000003,0.039999977,0.594,0.6137184115523465,0.6390977443609023,0.6261510128913443
43,0.05,0.5903225806451613,0.538,0.05000001,0.09999999,0.538,0.5655430711610487,0.5676691729323309,0.5666041275797373
43,0.1,0.4129032258064516,0.616,0.100000024,0.20000003,0.616,0.6434108527131783,0.6240601503759399,0.6335877862595419
43,0.15,0.35161290322580646,0.606,0.15000004,0.3,0.606,0.6245487364620939,0.650375939849624,0.6372007366482505
43,0.2,0.4032258064516129,0.552,0.20000003,0.40000007,0.552,0.574468085106383,0.6090225563909775,0.5912408759124088
43,0.3,0.4870967741935484,0.524,0.30000007,0.59995127,0.524,0.556,0.5225563909774437,0.5387596899224806
44,0.0,0.0,0.592,0.0,0.0,0.592,0.5950920245398773,0.7293233082706767,0.6554054054054054
44,0.02,0.34797297297297297,0.6,0.020000001,0.039999977,0.6,0.6044303797468354,0.7180451127819549,0.6563573883161512
44,0.05,0.5574324324324325,0.532,0.050000012,0.09999999,0.532,0.5540540540540541,0.6165413533834586,0.5836298932384342
44,0.1,0.38513513513513514,0.594,0.100000024,0.20000003,0.594,0.6032786885245902,0.6917293233082706,0.6444833625218914
44,0.15,0.3310810810810811,0.604,0.15000004,0.3,0.604,0.6118421052631579,0.6992481203007519,0.6526315789473685
44,0.2,0.34121621621621623,0.616,0.20000003,0.40000007,0.616,0.6201298701298701,0.7180451127819549,0.6655052264808362
44,0.3,0.41216216216216217,0.554,0.30000007,0.5999502,0.554,0.5749128919860628,0.6203007518796992,0.596745027124774
45,0.0,0.0,0.652,0.0,0.0,0.652,0.6642857142857143,0.6992481203007519,0.6813186813186813
45,0.02,0.3803680981595092,0.608,0.020000001,0.039999977,0.608,0.631578947368421,0.631578947368421,0.631578947368421
45,0.05,0.6073619631901841,0.518,0.05000001,0.09999999,0.518,0.5468164794007491,0.5488721804511278,0.5478424015009381
45,0.1,0.49079754601226994,0.55,0.100000024,0.20000003,0.55,0.5797665369649806,0.5601503759398496,0.5697896749521989
45,0.15,0.3895705521472393,0.594,0.15000004,0.3,0.594,0.6285714285714286,0.5789473684210527,0.6027397260273972
45,0.2,0.34355828220858897,0.622,0.20000005,0.40000007,0.622,0.6558704453441295,0.6090225563909775,0.631578947368421
45,0.3,0.46319018404907975,0.524,0.30000007,0.5999501,0.524,0.5636363636363636,0.46616541353383456,0.5102880658436214
46,0.0,0.0,0.632,0.0,0.0,0.632,0.629746835443038,0.7481203007518797,0.6838487972508591
46,0.02,0.37341772151898733,0.568,0.020000003,0.039999977,0.568,0.5862068965517241,0.6390977443609023,0.6115107913669064
46,0.05,0.6044303797468354,0.518,0.05000001,0.09999999,0.518,0.5490196078431373,0.5263157894736842,0.5374280230326296
46,0.1,0.48417721518987344,0.526,0.100000024,0.20000003,0.526,0.5555555555555556,0.5451127819548872,0.5502846299810247
46,0.15,0.4050632911392405,0.52,0.15000004,0.3,0.52,0.545774647887324,0.5827067669172933,0.5636363636363636
46,0.2,0.3924050632911392,0.544,0.20000005,0.40000007,0.544,0.5688405797101449,0.5902255639097744,0.5793357933579336
46,0.3,0.4620253164556962,0.522,0.30000007,0.6,0.522,0.5529411764705883,0.5300751879699248,0.5412667946257198
47,0.0,0.0,0.626,0.0,0.0,0.626,0.632996632996633,0.706766917293233,0.6678507992895204
47,0.02,0.33226837060702874,0.608,0.02,0.039999977,0.608,0.6129032258064516,0.7142857142857143,0.6597222222222222
47,0.05,0.5175718849840255,0.57,0.05000001,0.09998291,0.57,0.5907473309608541,0.6240601503759399,0.6069469835466179
47,0.1,0.40894568690095845,0.596,0.100000024,0.1999514,0.596,0.6,0.7218045112781954,0.6552901023890785
47,0.15,0.3226837060702875,0.602,0.15000004,0.2999229,0.602,0.6084142394822006,0.706766917293233,0.6539130434782608
47,0.2,0.34185303514376997,0.596,0.20000003,0.3998954,0.596,0.608843537414966,0.6729323308270677,0.6392857142857142
47,0.3,0.476038338658147,0.522,0.30000007,0.59984094,0.522,0.5537848605577689,0.5225563909774437,0.5377176015473888
48,0.0,0.0,0.632,0.0,0.0,0.632,0.6433566433566433,0.6917293233082706,0.6666666666666666
48,0.02,0.3829113924050633,0.606,0.020000003,0.039999977,0.606,0.6385542168674698,0.5977443609022557,0.6174757281553398
48,0.05,0.620253164556962,0.526,0.050000012,0.09999999,0.526,0.5638766519823789,0.48120300751879697,0.5192697768762677
48,0.1,0.4272151898734177,0.606,0.100000024,0.20000003,0.606,0.6342412451361867,0.6127819548872181,0.6233269598470363
48,0.15,0.33860759493670883,0.602,0.15000004,0.3,0.602,0.6334661354581673,0.5977443609022557,0.6150870406189555
48,0.2,0.4177215189873418,0.55,0.20000005,0.40000007,0.55,0.5836734693877551,0.5375939849624061,0.5596868884540117
48,0.3,0.509493670886076,0.484,0.30000004,0.6,0.484,0.5168067226890757,0.462406015037594,0.4880952380952381
49,0.0,0.0,0.668,0.0,0.0,0.668,0.668918918918919,0.7443609022556391,0.7046263345195729
49,0.02,0.37425149700598803,0.61,0.020000001,0.039999977,0.61,0.6156351791530945,0.7105263157894737,0.6596858638743456
49,0.05,0.5658682634730539,0.528,0.05000001,0.09999999,0.528,0.5531914893617021,0.5864661654135338,0.5693430656934306
49,0.1,0.46407185628742514,0.558,0.100000024,0.20000003,0.558,0.5789473684210527,0.6203007518796992,0.5989110707803993
