seed,method,noise_type,level,accuracy,precision,recall,f1
42,unmitigated,readout,L2,0.6166666666666667,0.6285714285714286,0.6875,0.6567164179104478
42,unmitigated,readout,L4,0.61,0.6257309941520468,0.66875,0.6465256797583081
42,unmitigated,combined,L2,0.6233333333333333,0.6374269005847953,0.68125,0.6586102719033232
42,unmitigated,depolarizing,L2,0.6233333333333333,0.6390532544378699,0.675,0.6565349544072948
42,unmitigated,depolarizing,L4,0.5766666666666667,0.6633663366336634,0.41875,0.5134099616858238
42,unmitigated,phase_damping,L2,0.6166666666666667,0.630057803468208,0.68125,0.6546546546546547
42,unmitigated,phase_damping,L4,0.63,0.6622516556291391,0.625,0.6430868167202572
43,unmitigated,readout,L2,0.61,0.6187845303867403,0.7,0.656891495601173
43,unmitigated,readout,L4,0.61,0.6201117318435754,0.69375,0.6548672566371682
43,unmitigated,combined,L2,0.62,0.632183908045977,0.6875,0.6586826347305389
43,unmitigated,depolarizing,L2,0.6233333333333333,0.632768361581921,0.7,0.6646884272997032
43,unmitigated,depolarizing,L4,0.54,0.6774193548387096,0.2625,0.3783783783783784
43,unmitigated,phase_damping,L2,0.62,0.6292134831460674,0.7,0.6627218934911243
43,unmitigated,phase_damping,L4,0.6066666666666667,0.6567164179104478,0.55,0.5986394557823129
44,unmitigated,readout,L2,0.63,0.6150234741784038,0.81875,0.7024128686327078
44,unmitigated,readout,L4,0.6366666666666667,0.6197183098591549,0.825,0.707774798927614
44,unmitigated,combined,L2,0.6266666666666667,0.6081081081081081,0.84375,0.7068062827225131
44,unmitigated,depolarizing,L2,0.6266666666666667,0.6090909090909091,0.8375,0.7052631578947368
44,unmitigated,depolarizing,L4,0.5566666666666666,0.5494505494505495,0.9375,0.6928406466512702
44,unmitigated,phase_damping,L2,0.6266666666666667,0.6100917431192661,0.83125,0.7037037037037037
44,unmitigated,phase_damping,L4,0.6,0.5806451612903226,0.9,0.7058823529411765
45,unmitigated,readout,L2,0.6333333333333333,0.6329787234042553,0.74375,0.6839080459770115
45,unmitigated,readout,L4,0.6266666666666667,0.6348314606741573,0.70625,0.6686390532544378
45,unmitigated,combined,L2,0.62,0.6292134831460674,0.7,0.6627218934911243
45,unmitigated,depolarizing,L2,0.6166666666666667,0.6285714285714286,0.6875,0.6567164179104478
45,unmitigated,depolarizing,L4,0.55,0.6404494382022472,0.35625,0.4578313253012048
45,unmitigated,phase_damping,L2,0.61,0.6187845303867403,0.7,0.656891495601173
45,unmitigated,phase_damping,L4,0.61,0.6462585034013606,0.59375,0.6188925081433225
46,unmitigated,readout,L2,0.6366666666666667,0.6268656716417911,0.7875,0.6980609418282548
46,unmitigated,readout,L4,0.6333333333333333,0.6275510204081632,0.76875,0.6910112359550562
46,unmitigated,combined,L2,0.64,0.6326530612244898,0.775,0.6966292134831461
46,unmitigated,depolarizing,L2,0.6433333333333333,0.6373056994818653,0.76875,0.6968838526912181
46,unmitigated,depolarizing,L4,0.5266666666666666,0.5625,0.50625,0.5328947368421053
46,unmitigated,phase_damping,L2,0.64,0.6326530612244898,0.775,0.6966292134831461
46,unmitigated,phase_damping,L4,0.62,0.6277777777777778,0.70625,0.6647058823529411
47,unmitigated,readout,L2,0.6166666666666667,0.616580310880829,0.74375,0.6742209631728046
47,unmitigated,readout,L4,0.6166666666666667,0.6190476190476191,0.73125,0.670487106017192
47,unmitigated,combined,L2,0.6333333333333333,0.6288659793814433,0.7625,0.6892655367231638
47,unmitigated,depolarizing,L2,0.63,0.6256410256410256,0.7625,0.6873239436619718
47,unmitigated,depolarizing,L4,0.5666666666666667,0.5833333333333334,0.65625,0.6176470588235294
47,unmitigated,phase_damping,L2,0.6233333333333333,0.6230366492146597,0.74375,0.6780626780626781
47,unmitigated,phase_damping,L4,0.6366666666666667,0.6321243523316062,0.7625,0.6912181303116147
48,unmitigated,readout,L2,0.5933333333333334,0.611764705882353,0.65,0.6303030303030303
48,unmitigated,readout,L4,0.5966666666666667,0.6153846153846154,0.65,0.6322188449848024
48,unmitigated,combined,L2,0.5966666666666667,0.6196319018404908,0.63125,0.6253869969040248
48,unmitigated,depolarizing,L2,0.6033333333333334,0.6242424242424243,0.64375,0.6338461538461538
48,unmitigated,depolarizing,L4,0.5833333333333334,0.631578947368421,0.525,0.5733788395904437
48,unmitigated,phase_damping,L2,0.6033333333333334,0.6227544910179641,0.65,0.636085626911315
48,unmitigated,phase_damping,L4,0.6066666666666667,0.6346153846153846,0.61875,0.6265822784810127
49,unmitigated,readout,L2,0.6633333333333333,0.6612021857923497,0.75625,0.7055393586005831
49,unmitigated,readout,L4,0.66,0.6593406593406593,0.75,0.7017543859649122
49,unmitigated,combined,L2,0.6633333333333333,0.6594594594594595,0.7625,0.7072463768115942
49,unmitigated,depolarizing,L2,0.66,0.6559139784946236,0.7625,0.7052023121387283
49,unmitigated,depolarizing,L4,0.6,0.631578947368421,0.6,0.6153846153846154
49,unmitigated,phase_damping,L2,0.66,0.6559139784946236,0.7625,0.7052023121387283
49,unmitigated,phase_damping,L4,0.6366666666666667,0.6457142857142857,0.70625,0.6746268656716418
