seed,epsilon,noise_type,level,attack_success_rate,robustness_accuracy,accuracy,precision,recall,f1
45,0.0,none,L0,0.04294478527607362,0.64,0.64,0.6546762589928058,0.6842105263157895,0.6691176470588235
45,0.0,depolarizing,L1,0.06441717791411043,0.624,0.624,0.6444444444444445,0.6541353383458647,0.6492537313432836
45,0.0,depolarizing,L2,0.07668711656441718,0.616,0.616,0.6401515151515151,0.6353383458646616,0.6377358490566037
45,0.0,depolarizing,L3,0.15950920245398773,0.606,0.606,0.6561085972850679,0.5451127819548872,0.5954825462012321
45,0.0,depolarizing,L4,0.3220858895705521,0.572,0.572,0.6805555555555556,0.3684210526315789,0.47804878048780486
45,0.0,phase_damping,L1,0.049079754601226995,0.634,0.634,0.652014652014652,0.6691729323308271,0.660482374768089
45,0.0,phase_damping,L2,0.06134969325153374,0.628,0.628,0.6481481481481481,0.6578947368421053,0.6529850746268657
45,0.0,phase_damping,L3,0.11042944785276074,0.614,0.614,0.6454183266932271,0.6090225563909775,0.6266924564796905
45,0.0,phase_damping,L4,0.15950920245398773,0.606,0.606,0.6533333333333333,0.5526315789473685,0.5987780040733197
45,0.0,readout,L1,0.046012269938650305,0.636,0.636,0.6521739130434783,0.6766917293233082,0.6642066420664207
45,0.0,readout,L2,0.05828220858895705,0.63,0.63,0.6483516483516484,0.6654135338345865,0.6567717996289425
45,0.0,readout,L3,0.05521472392638037,0.63,0.63,0.6483516483516484,0.6654135338345865,0.6567717996289425
45,0.0,readout,L4,0.06748466257668712,0.628,0.628,0.6459854014598541,0.6654135338345865,0.6555555555555556
45,0.0,combined,L2,0.07668711656441718,0.618,0.618,0.6415094339622641,0.6390977443609023,0.64030131826742
45,0.02,none,L0,0.36503067484662577,0.618,0.618,0.6404494382022472,0.6428571428571429,0.6416510318949343
45,0.02,depolarizing,L1,0.3588957055214724,0.616,0.616,0.6401515151515151,0.6353383458646616,0.6377358490566037
45,0.02,depolarizing,L2,0.36503067484662577,0.612,0.612,0.6417322834645669,0.6127819548872181,0.6269230769230769
45,0.02,depolarizing,L3,0.3895705521472393,0.584,0.584,0.6542553191489362,0.462406015037594,0.5418502202643172
45,0.02,depolarizing,L4,0.4570552147239264,0.542,0.542,0.6528925619834711,0.29699248120300753,0.4082687338501292
45,0.02,phase_damping,L1,0.3619631901840491,0.618,0.618,0.6425855513307985,0.6353383458646616,0.6389413988657845
45,0.02,phase_damping,L2,0.3619631901840491,0.612,0.612,0.6384615384615384,0.6240601503759399,0.6311787072243346
45,0.02,phase_damping,L3,0.3773006134969325,0.6,0.6,0.6434782608695652,0.556390977443609,0.5967741935483871
45,0.02,phase_damping,L4,0.37423312883435583,0.588,0.588,0.65,0.48872180451127817,0.5579399141630901
45,0.02,readout,L1,0.36809815950920244,0.612,0.612,0.6353383458646616,0.6353383458646616,0.6353383458646616
45,0.02,readout,L2,0.36503067484662577,0.618,0.618,0.6404494382022472,0.6428571428571429,0.6416510318949343
45,0.02,readout,L3,0.36503067484662577,0.616,0.616,0.6434108527131783,0.6240601503759399,0.6335877862595419
45,0.02,readout,L4,0.36809815950920244,0.622,0.622,0.6558704453441295,0.6090225563909775,0.631578947368421
45,0.02,combined,L2,0.3803680981595092,0.6,0.6,0.6352459016393442,0.5827067669172933,0.6078431372549019
45,0.05,none,L0,0.6104294478527608,0.518,0.518,0.5471698113207547,0.5451127819548872,0.5461393596986818
45,0.05,depolarizing,L1,0.6134969325153374,0.52,0.52,0.5503875968992248,0.5338345864661654,0.5419847328244275
45,0.05,depolarizing,L2,0.6134969325153374,0.518,0.518,0.5502008032128514,0.5150375939849624,0.5320388349514563
45,0.05,depolarizing,L3,0.598159509202454,0.504,0.504,0.546875,0.39473684210526316,0.4585152838427948
45,0.05,depolarizing,L4,0.6073619631901841,0.478,0.478,0.5203252032520326,0.24060150375939848,0.32904884318766064
45,0.05,phase_damping,L1,0.6104294478527608,0.522,0.522,0.5517241379310345,0.5413533834586466,0.5464895635673624
45,0.05,phase_damping,L2,0.6073619631901841,0.524,0.524,0.5551181102362205,0.5300751879699248,0.5423076923076923
45,0.05,phase_damping,L3,0.6042944785276073,0.516,0.516,0.5508474576271186,0.48872180451127817,0.5179282868525896
45,0.05,phase_damping,L4,0.5950920245398773,0.514,0.514,0.5577889447236181,0.41729323308270677,0.4774193548387097
45,0.05,readout,L1,0.6104294478527608,0.51,0.51,0.5393258426966292,0.5413533834586466,0.5403377110694184
45,0.05,readout,L2,0.6104294478527608,0.514,0.514,0.5430711610486891,0.5451127819548872,0.5440900562851783
45,0.05,readout,L3,0.6134969325153374,0.512,0.512,0.5416666666666666,0.5375939849624061,0.539622641509434
45,0.05,readout,L4,0.6165644171779141,0.51,0.51,0.5405405405405406,0.5263157894736842,0.5333333333333333
45,0.05,combined,L2,0.6104294478527608,0.52,0.52,0.5515873015873016,0.5225563909774437,0.5366795366795367
45,0.1,none,L0,0.4938650306748466,0.548,0.548,0.5775193798449613,0.5601503759398496,0.5687022900763359
45,0.1,depolarizing,L1,0.4815950920245399,0.554,0.554,0.5856573705179283,0.5526315789473685,0.5686653771760155
45,0.1,depolarizing,L2,0.48773006134969327,0.55,0.55,0.5850622406639004,0.5300751879699248,0.5562130177514792
45,0.1,depolarizing,L3,0.49693251533742333,0.542,0.542,0.6010928961748634,0.41353383458646614,0.48997772828507796
45,0.1,depolarizing,L4,0.5368098159509203,0.504,0.504,0.5818181818181818,0.24060150375939848,0.3404255319148936
45,0.1,phase_damping,L1,0.48466257668711654,0.552,0.552,0.5826771653543307,0.556390977443609,0.5692307692307692
45,0.1,phase_damping,L2,0.48773006134969327,0.548,0.548,0.5806451612903226,0.5413533834586466,0.5603112840466926
45,0.1,phase_damping,L3,0.4754601226993865,0.554,0.554,0.5947136563876652,0.5075187969924813,0.5476673427991886
45,0.1,phase_damping,L4,0.4815950920245399,0.54,0.54,0.5918367346938775,0.43609022556390975,0.5021645021645021
45,0.1,readout,L1,0.4938650306748466,0.548,0.548,0.5775193798449613,0.5601503759398496,0.5687022900763359
45,0.1,readout,L2,0.4938650306748466,0.546,0.546,0.5764705882352941,0.5526315789473685,0.564299424184261
45,0.1,readout,L3,0.49079754601226994,0.546,0.546,0.5783132530120482,0.5413533834586466,0.5592233009708738
45,0.1,readout,L4,0.4938650306748466,0.544,0.544,0.576,0.5413533834586466,0.5581395348837209
45,0.1,combined,L2,0.48773006134969327,0.552,0.552,0.5867768595041323,0.5338345864661654,0.5590551181102362
45,0.15,none,L0,0.3773006134969325,0.596,0.596,0.6290322580645161,0.5864661654135338,0.6070038910505836
45,0.15,depolarizing,L1,0.37116564417177916,0.604,0.604,0.639344262295082,0.5864661654135338,0.611764705882353
45,0.15,depolarizing,L2,0.37423312883435583,0.604,0.604,0.6452991452991453,0.5676691729323309,0.604
45,0.15,depolarizing,L3,0.3987730061349693,0.584,0.584,0.6526315789473685,0.46616541353383456,0.543859649122807
45,0.15,depolarizing,L4,0.4785276073619632,0.526,0.526,0.6260869565217392,0.2706766917293233,0.3779527559055118
45,0.15,phase_damping,L1,0.37116564417177916,0.602,0.602,0.636734693877551,0.5864661654135338,0.6105675146771037
45,0.15,phase_damping,L2,0.37423312883435583,0.602,0.602,0.6401673640167364,0.575187969924812,0.6059405940594059
45,0.15,phase_damping,L3,0.3834355828220859,0.598,0.598,0.6484018264840182,0.5338345864661654,0.5855670103092784
45,0.15,phase_damping,L4,0.39263803680981596,0.588,0.588,0.65,0.48872180451127817,0.5579399141630901
45,0.15,readout,L1,0.36809815950920244,0.602,0.602,0.6356275303643725,0.5902255639097744,0.6120857699805068
45,0.15,readout,L2,0.3773006134969325,0.596,0.596,0.6290322580645161,0.5864661654135338,0.6070038910505836
45,0.15,readout,L3,0.37423312883435583,0.602,0.602,0.636734693877551,0.5864661654135338,0.6105675146771037
45,0.15,readout,L4,0.36809815950920244,0.606,0.606,0.6408163265306123,0.5902255639097744,0.6144814090019569
45,0.15,combined,L2,0.3834355828220859,0.6,0.6,0.6422413793103449,0.5601503759398496,0.5983935742971888
45,0.2,none,L0,0.34662576687116564,0.62,0.62,0.652,0.6127819548872181,0.6317829457364341
45,0.2,depolarizing,L1,0.34355828220858897,0.624,0.624,0.6585365853658537,0.6090225563909775,0.6328125
45,0.2,depolarizing,L2,0.34662576687116564,0.624,0.624,0.6638655462184874,0.5939849624060151,0.626984126984127
45,0.2,depolarizing,L3,0.36503067484662577,0.604,0.604,0.6827956989247311,0.4774436090225564,0.5619469026548672
45,0.2,depolarizing,L4,0.4662576687116564,0.542,0.542,0.648,0.30451127819548873,0.4143222506393862
45,0.2,phase_damping,L1,0.34355828220858897,0.624,0.624,0.6585365853658537,0.6090225563909775,0.6328125
45,0.2,phase_damping,L2,0.34049079754601225,0.628,0.628,0.6652892561983471,0.6052631578947368,0.6338582677165354
45,0.2,phase_damping,L3,0.3374233128834356,0.626,0.626,0.6724890829694323,0.5789473684210527,0.6222222222222222
45,0.2,phase_damping,L4,0.34355828220858897,0.616,0.616,0.6831683168316832,0.518796992481203,0.5897435897435898
45,0.2,readout,L1,0.3374233128834356,0.622,0.622,0.6546184738955824,0.6127819548872181,0.6330097087378641
45,0.2,readout,L2,0.34049079754601225,0.622,0.622,0.6533864541832669,0.6165413533834586,0.6344294003868471
45,0.2,readout,L3,0.32515337423312884,0.634,0.634,0.6653386454183267,0.6278195488721805,0.6460348162475822
45,0.2,readout,L4,0.3282208588957055,0.626,0.626,0.6586345381526104,0.6165413533834586,0.6368932038834951
45,0.2,combined,L2,0.3374233128834356,0.626,0.626,0.6666666666666666,0.5939849624060151,0.6282306163021869
45,0.3,none,L0,0.4754601226993865,0.522,0.522,0.56,0.47368421052631576,0.5132382892057027
45,0.3,depolarizing,L1,0.4754601226993865,0.522,0.522,0.5605381165919282,0.4699248120300752,0.5112474437627812
45,0.3,depolarizing,L2,0.4785276073619632,0.516,0.516,0.555045871559633,0.4548872180451128,0.5
45,0.3,depolarizing,L3,0.49079754601226994,0.506,0.506,0.5524861878453039,0.37593984962406013,0.44742729306487694
45,0.3,depolarizing,L4,0.5,0.506,0.506,0.5811965811965812,0.2556390977443609,0.35509138381201044
45,0.3,phase_damping,L1,0.4723926380368098,0.524,0.524,0.5619469026548672,0.4774436090225564,0.516260162601626
45,0.3,phase_damping,L2,0.4785276073619632,0.518,0.518,0.5565610859728507,0.462406015037594,0.5051334702258727
45,0.3,phase_damping,L3,0.4662576687116564,0.524,0.524,0.5666666666666667,0.4473684210526316,0.5
45,0.3,phase_damping,L4,0.4723926380368098,0.516,0.516,0.5612244897959183,0.41353383458646614,0.47619047619047616
45,0.3,readout,L1,0.4754601226993865,0.518,0.518,0.5555555555555556,0.4699248120300752,0.5091649694501018
45,0.3,readout,L2,0.4785276073619632,0.516,0.516,0.5535714285714286,0.46616541353383456,0.5061224489795918
45,0.3,readout,L3,0.48773006134969327,0.516,0.516,0.5535714285714286,0.46616541353383456,0.5061224489795918
45,0.3,readout,L4,0.4754601226993865,0.516,0.516,0.5555555555555556,0.45112781954887216,0.4979253112033195
45,0.3,combined,L2,0.48773006134969327,0.508,0.508,0.5467289719626168,0.4398496240601504,0.4875
