seed,model,epsilon,attack_success_rate,robustness_accuracy,mean_linf,mean_l2,accuracy,precision,recall,f1
42,vqc,0.0,0.0,0.56,0.0,0.0,0.56,0.631578947368421,0.4444444444444444,0.5217391304347826
42,vqc,0.05,0.7142857142857143,0.56,0.04875,0.083068006,0.56,0.5862068965517241,0.6296296296296297,0.6071428571428571
42,vqc,0.1,1.0,0.44,0.09050001,0.13505717,0.44,0.4838709677419355,0.5555555555555556,0.5172413793103449
42,vqc,0.2,0.8928571428571429,0.5,0.13499998,0.18587036,0.5,0.5357142857142857,0.5555555555555556,0.5454545454545454
42,vqc,0.3,0.6071428571428571,0.54,0.16800001,0.24181314,0.54,0.5769230769230769,0.5555555555555556,0.5660377358490566
42,classical,0.0,0.0,0.98,0.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
42,classical,0.05,0.0,0.98,0.05,0.09720815,0.98,0.9642857142857143,1.0,0.9818181818181818
42,classical,0.1,0.0,0.98,0.10000002,0.19314739,0.98,0.9642857142857143,1.0,0.9818181818181818
42,classical,0.2,0.0,1.0,0.20000003,0.38132882,1.0,1.0,1.0,1.0
42,classical,0.3,0.04081632653061224,0.96,0.30000004,0.5671891,0.96,1.0,0.9259259259259259,0.9615384615384616
43,vqc,0.0,0.0,0.66,0.0,0.0,0.66,0.6785714285714286,0.7037037037037037,0.6909090909090909
43,vqc,0.05,0.7575757575757576,0.44,0.049500003,0.0860096,0.44,0.4782608695652174,0.4074074074074074,0.44
43,vqc,0.1,0.9696969696969697,0.32,0.089499995,0.13775836,0.32,0.3333333333333333,0.25925925925925924,0.2916666666666667
43,vqc,0.2,0.8787878787878788,0.36,0.13599998,0.18658504,0.36,0.391304347826087,0.3333333333333333,0.36
43,vqc,0.3,0.5757575757575758,0.48,0.15450004,0.22694889,0.48,0.5185185185185185,0.5185185185185185,0.5185185185185185
43,classical,0.0,0.0,0.98,0.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
43,classical,0.05,0.0,0.98,0.045000006,0.08922549,0.98,0.9642857142857143,1.0,0.9818181818181818
43,classical,0.1,0.0,0.98,0.09000002,0.17760588,0.98,0.9642857142857143,1.0,0.9818181818181818
43,classical,0.2,0.0,1.0,0.18000002,0.3516636,1.0,1.0,1.0,1.0
43,classical,0.3,0.02040816326530612,0.98,0.27,0.5251121,0.98,1.0,0.9629629629629629,0.9811320754716981
44,vqc,0.0,0.0,0.76,0.0,0.0,0.76,0.7586206896551724,0.8148148148148148,0.7857142857142857
44,vqc,0.05,0.868421052631579,0.32,0.04975,0.087982506,0.32,0.34782608695652173,0.2962962962962963,0.32
44,vqc,0.1,0.9473684210526315,0.28,0.088999994,0.1340392,0.28,0.2857142857142857,0.2222222222222222,0.25
44,vqc,0.2,0.8421052631578947,0.34,0.122,0.1722344,0.34,0.39285714285714285,0.4074074074074074,0.4
44,vqc,0.3,0.6578947368421053,0.4,0.15750003,0.23417562,0.4,0.4482758620689655,0.48148148148148145,0.4642857142857143
44,classical,0.0,0.0,0.98,0.0,0.0,0.98,0.9642857142857143,1.0,0.9818181818181818
44,classical,0.05,0.0,0.98,0.05000001,0.099249974,0.98,0.9642857142857143,1.0,0.9818181818181818
44,classical,0.1,0.0,0.98,0.10000002,0.19754986,0.98,0.9642857142857143,1.0,0.9818181818181818
44,classical,0.2,0.0,1.0,0.20000003,0.38839656,1.0,1.0,1.0,1.0
44,classical,0.3,0.0,1.0,0.30000004,0.57940465,1.0,1.0,1.0,1.0
