seed,noise_type,level,n_repeats,n_samples,mean_confidence_variance,mean_loss_coefficient_of_variation,mean_loss
42,depolarizing,L2,10,100,0.0004028460274479964,0.06111180773929028,0.6565850973129272
42,depolarizing,L4,10,100,0.00045373908173894107,0.06058852041486722,0.6899750232696533
43,depolarizing,L2,10,100,0.000380825729796205,0.057469143789303116,0.6687497496604919
43,depolarizing,L4,10,100,0.00041026686604109236,0.05699325631095025,0.6916508674621582
44,depolarizing,L2,10,100,0.00036417460276344846,0.0559466178549968,0.6685173511505127
44,depolarizing,L4,10,100,0.0004101923074203708,0.056812636707105305,0.6876465082168579
45,depolarizing,L2,10,100,0.00036045121031640944,0.05672546163366414,0.6453196406364441
45,depolarizing,L4,10,100,0.0004071182608507008,0.05721530958382726,0.6894405484199524
46,depolarizing,L2,10,100,0.000348947165949682,0.05514542496239174,0.655471682548523
46,depolarizing,L4,10,100,0.0003906750933228188,0.05559676033856679,0.6880407929420471
47,depolarizing,L2,10,100,0.00036002802372421604,0.05691753800634661,0.6523592472076416
47,depolarizing,L4,10,100,0.00040955601972946567,0.05755168248695704,0.6882242560386658
48,depolarizing,L2,10,100,0.0002555670484436481,0.04677364176722183,0.6675398945808411
48,depolarizing,L4,10,100,0.00028736897612806805,0.0477970907098929,0.6882997751235962
49,depolarizing,L2,10,100,0.0004667289653340638,0.0641759302435607,0.6835671663284302
49,depolarizing,L4,10,100,0.0005160712473682966,0.06444335040443745,0.6915988326072693
